"loan_id","loan_status","principal","terms","past_due_days","age","education","gender","default","age_group","loan_size"
"xqd20166231","PAIDOFF",1000,"30",NA,45,"High School or Below","male",0,"Senior","Medium"
"xqd20168902","PAIDOFF",1000,"30",NA,50,"Bechalor","female",0,"Senior","Medium"
"xqd20160003","PAIDOFF",1000,"30",NA,33,"Bechalor","female",0,"Middle","Medium"
"xqd20160004","PAIDOFF",1000,"15",NA,27,"college","male",0,"Middle","Medium"
"xqd20160005","PAIDOFF",1000,"30",NA,28,"college","female",0,"Middle","Medium"
"xqd20160706","PAIDOFF",300,"7",NA,35,"Master or Above","male",0,"Middle","Small"
"xqd20160007","PAIDOFF",1000,"30",NA,29,"college","male",0,"Middle","Medium"
"xqd20160008","PAIDOFF",1000,"30",NA,36,"college","male",0,"Middle","Medium"
"xqd20160909","PAIDOFF",1000,"30",NA,28,"college","male",0,"Middle","Medium"
"xqd20160010","PAIDOFF",800,"15",NA,26,"college","male",0,"Middle","Medium"
"xqd20160011","PAIDOFF",300,"7",NA,29,"college","male",0,"Middle","Small"
"xqd20160012","PAIDOFF",1000,"15",NA,39,"High School or Below","male",0,"Middle","Medium"
"xqd20160013","PAIDOFF",1000,"30",NA,26,"college","male",0,"Middle","Medium"
"xqd20160014","PAIDOFF",900,"7",NA,26,"college","female",0,"Middle","Medium"
"xqd20160015","PAIDOFF",1000,"7",NA,27,"High School or Below","male",0,"Middle","Medium"
"xqd20160016","PAIDOFF",800,"15",NA,26,"college","male",0,"Middle","Medium"
"xqd20160017","PAIDOFF",1000,"30",NA,40,"High School or Below","male",0,"Middle","Medium"
"xqd20160018","PAIDOFF",1000,"15",NA,32,"High School or Below","male",0,"Middle","Medium"
"xqd20160019","PAIDOFF",1000,"30",NA,32,"High School or Below","male",0,"Middle","Medium"
"xqd20160020","PAIDOFF",800,"30",NA,26,"college","male",0,"Middle","Medium"
"xqd20160021","PAIDOFF",1000,"30",NA,26,"college","male",0,"Middle","Medium"
"xqd20160022","PAIDOFF",1000,"30",NA,43,"High School or Below","female",0,"Middle","Medium"
"xqd20160023","PAIDOFF",1000,"30",NA,25,"High School or Below","male",0,"Middle","Medium"
"xqd20160024","PAIDOFF",1000,"15",NA,26,"college","male",0,"Middle","Medium"
"xqd20160025","PAIDOFF",1000,"30",NA,26,"college","male",0,"Middle","Medium"
"xqd20160026","PAIDOFF",1000,"30",NA,29,"High School or Below","male",0,"Middle","Medium"
